  琼·狄迪恩：中心难再维系.Joan.Didion.The.Center.Will.Not.Hold.2017.1080p.NF.WEBRip.DD5.1.x264-SiGMA.4.41GB,magnet:?xt=urn:btih:7586a8d32e06af2d71c6b5877f21f33ffd51795b  ,,
  骨之谷.Valley.of.Bones.2017.720p.WEB-DL.XviD.AC3-FGT.2.54GB,magnet:?xt=urn:btih:b212ced8bef292e2f615c1eb00b815ff9b958273  ,,
  Crystal.Inferno.2017.1080p.WEB_DL.H264.DD5.1-CMRG EtHD .2.85GB,magnet:?xt=urn:btih:61df32d5f62081aae7a21fca687e3a4419cca6a9  ,,
  搏击之王：反击.Kickboxer.Retaliation.2018.720p.WEBRip.XviD.MP3-FGT.2.39GB,magnet:?xt=urn:btih:d74ae7bd3faf048285c02a5d6242f882b46f58ca  ,,
  底特律.Detroit.2017.720p.BluRay.H264.AAC-RARBG.1.74GB,magnet:?xt=urn:btih:7b6f52a6b252f02f68b32a44b1c3f1168f722ab0  ,,
  尘封往事.Past.Life.2016.SUBBED.DVDRip.x264-FRAGMENT.462.28MB,magnet:?xt=urn:btih:0c0c3e93c2b879132b3cb02f87f1f443fa0af79e  ,,
  招笑猫.Laughing.Lucky.Cats.2017.720p.BluRay.x264-WiKi.5GB,magnet:?xt=urn:btih:e4c702e7415832d1e74e2deebc001f7c182b6fc5  ,,
  坚强.Stronger.2017.720p.BluRay.H264.AAC-RARBG.1.45GB,magnet:?xt=urn:btih:765d5dafed7774f415ef4f47a695979e9881168a  ,,
  帕丁顿熊2.Paddington.2.2017.iTALiAN.MD.TELESYNC.XviD-iSTANCE.avi.1.36GB,magnet:?xt=urn:btih:59bf52ea433d0acbe9498584871ecb14cfb98ca1  ,,
  卧底爷爷.Undercover.Grandpa.2017.1080p.NF.WEBRip.DD5.1.x264-SiGMA.2.91GB,magnet:?xt=urn:btih:f888a52b6db262a74df7f21b1a40f4a1de5f6ef2  ,,
  Christmas.Ranch.2016.1080p.AMZN.WEBRip.DDP2.0.x264-monkee.4.6GB,magnet:?xt=urn:btih:db89ac3551a4dc574a2c9e658f821fd1d585fb1f  ,,
  怒战狂心.KoloVraTT.2O17.O.TS.14OOMB.avi.1.46GB,magnet:?xt=urn:btih:84288f9d42f72b2784d4dfe3f2aaf4b1c7663cd7  ,,
  人质们.Hostages.2017.720p.BluRay.DD5.1.x264-HaB EtHD .5.54GB,magnet:?xt=urn:btih:5691bec95db750fbb73c8de1a06ad8709dbe40b3  ,,
  拯救资本主义.Saving.Capitalism.2017.720p.WEB.x264-STRiFE.2.23GB,magnet:?xt=urn:btih:1ea8299fd1ad0a264c1d7a59e2e18a508736547e  ,,
  方法派.METHOD.2017.720p.HDRip.H264.AAC-JAYENT.mp4.1.24GB,magnet:?xt=urn:btih:b78fb66112fc00faf4358c11fabceff7634ed476  ,,
  逆谋.-.叛乱的时代.The.Age.of.Blood.2016.720p.HDRip.H264.AAC-JAYENT.mp4.1.55GB,magnet:?xt=urn:btih:76ab029913db4eb7894e2b95c68cc0f140f04187  ,,
  7号室.Room.No.7.2017.1080P.NonDRM_ FHD .mp4.3.82GB,magnet:?xt=urn:btih:cd2113661797837eab8bf5febdd403a8687598e0  ,,
  替身情缘.Un.Profil.Pour.Deux.2017.FRENCH.BDRip.XviD-GZR.700.04MB,magnet:?xt=urn:btih:b22464c261a138a0c77fe5b331012749d7e6cdc0  ,,
  帕洛斯弗迪斯的部落.The.Tribes.of.Palos.Verdes.2017.720p.WEB-DL.XviD.AC3-FGT.2.53GB,magnet:?xt=urn:btih:e0acc1b444f2ebc1eedc2c73686b92665728bf15  ,,
  百日孤独.Alien.Invasion.S.U.M.1.2017.720p.WEB-DL.XviD.AC3-FGT.2.31GB,magnet:?xt=urn:btih:8eded2a8e01f1a7be9f6bbfbe338254ea5cd2bcc  ,,
  破冰船.LeDOKOLL.2O16.O.WEB-DL.72OP.mkv.3.84GB,magnet:?xt=urn:btih:5defa13c4ceb1b31f72bff3e66a68db0ed20b555  ,,
  老爸当家2.Daddys.Home.2.2017.HDTS.x264-EZIS.1.24GB,magnet:?xt=urn:btih:7431ea8a0df00fe98377647cadcbeca9ca6843f0  ,,
  绿色地狱：纽伯格林.The.Green.Hell.2017.1080p.WEB-DL.DD5.1.H264-Andromeda.3.4GB,magnet:?xt=urn:btih:53282bcd0d1c431fde7d6df19b3a514f4b5f3776  ,,
  剩余的爱.My.Last.Love.2017.720p.HDRip.H264.AAC-PCHD.mp4.2.48GB,magnet:?xt=urn:btih:6b9b7b88141c1bcdde9fcdfbb24d3b775ba5604d  ,,
  酒会.The.Party.2017.720p.BluRay.H264.AAC-RARBG.870.59MB,magnet:?xt=urn:btih:f32909f92be21faa880e9f6f0b969de80925b7d8  ,,
  错上加错.A.Bad.Idea.Gone.Wrong.2017.720p.WEB-DL.XviD.AC3-FGT.2.54GB,magnet:?xt=urn:btih:94d388d3d34d23f4f7852329b3cf9ddeb3dbc119  ,,
  准备.The.Preparation.2017.720p.HDRip.H264.AAC-JAYENT.mp4.1.75GB,magnet:?xt=urn:btih:03aeb7a221a7b8389d2ce3a4efd1006f86ad491a  ,,
  最终正义.Ultimate.Justice.2017.HDRip.XviD.AC3-EVO.1.38GB,magnet:?xt=urn:btih:79ea35ac0933e3909d405382346ba76e53f5bbed  ,,
  公园.Parks.2017.720p.BluRay.x264-WiKi.4.36GB,magnet:?xt=urn:btih:07531150496497093bebdd5ce8253595b3395f44  ,,
  黑帮之地.Gangster.Land.2017.720p.WEB-DL.XviD.AC3-FGT.2.38GB,magnet:?xt=urn:btih:a11f72aab8a22eb53e5ff0e13af157fa045ed731  ,,
  美玉.A.Special.Lady.2017.1080P.NonDRM_ FHD .mp4.3.45GB,magnet:?xt=urn:btih:39ac428a1fda8c11508704b8f725daa715516caf  ,,
  蛰伏.Slumber.2017.720p.WEB-DL.XviD.AC3-FGT.3.53GB,magnet:?xt=urn:btih:2638a77c513765a778558391424e4ae033a6689e  ,,
  Fate.2017.1080p.AMZN.WEBRip.DDP2.0.x264-SiGMA.7.15GB,magnet:?xt=urn:btih:278414217ba75264274d86139be85e2a996c0ebc  ,,
  肥皂泡.Where.I.Belong.2017.720p.BluRay.x264-WiKi.4GB,magnet:?xt=urn:btih:eb0c91726ba08ca6c5f1b1a573af1cc19f006ec5  ,,
  Салют-7.2017.WEB-DL. 1080p .mkv.3.67GB,magnet:?xt=urn:btih:756952eb62226b00aef38b725d8727a0275da1c6  ,,
  博格对战麦肯罗.Borg.vs.McEnroe.2017.720p.WEB-DL.XviD.AC3-FGT.3.68GB,magnet:?xt=urn:btih:65460c872c244f814532539b0e18e40185d644ef  ,,
  爱的跳动节奏.Love.Beats.Rhymes.2017.720p.WEB-DL.XviD.AC3-FGT.3.08GB,magnet:?xt=urn:btih:6ff93a02aa8e3214eec7a719e090131cd83fb2f2  ,,
  银魂.Gintama.2017.720p.BluRay.x264-WiKi.5.46GB,magnet:?xt=urn:btih:89a339178e3827c7180c43801847032898420287  ,,
  果戈里·起点.Gogol.Nachalo.2017.BDRip.720p.mp4.1.5GB,magnet:?xt=urn:btih:7286a5e08057e2600a181da26339c00925f325e1  ,,
  走出荒野.Out.of.the.Wild.2017.DVDRip.XviD.AC3-EVO.1.39GB,magnet:?xt=urn:btih:4b67a5553d5cc692588247e1f85d8eb2f49b228f  ,,
  圣诞愿望.Wish.for.Christmas.2016.720p.BluRay.H264.AAC-RARBG.1.16GB,magnet:?xt=urn:btih:66e2b570f9128dff5cf1d7ff5bfd379758f5e40a  ,,
  快乐公交日.Happy.Bus.Day.2016.720p.HDRip.H264.AAC-JAYENT.mp4.1.67GB,magnet:?xt=urn:btih:0adea77675e4b47f13595ae5b952c662b95c218d  ,,
  王者行动.Baadshaho.(2017).720p.Hindi.-.HDRip..-.x264.-.AAC.mkv.1.36GB,magnet:?xt=urn:btih:a11b3291ca658943e7ba7e100b3f78b0cb5dd426  ,,
  大冷.Grand.Froid.2017.FRENCH.HDRip.XviD-PREUMS.698.66MB,magnet:?xt=urn:btih:86f18e15f832861f9032bccf18e597c21f892b67  ,,
  空天猎.Sky.Hunter.2017.1080p.WEB-DL.X264.AAC-BT4K.1.26GB,magnet:?xt=urn:btih:74da844f58aeeddba04d4b2621fd926c712e03ea  ,,
  他们皆圣徒.All.Saints.2017.720p.BluRay.H264.AAC-RARBG.1.32GB,magnet:?xt=urn:btih:54c257f247ab8c0109ce0cda07c6a15a04d25db2  ,,
  先贤之信.Faith.of.Our.Fathers.2015.1080p.AMZN.WEBRip.DDP5.1.x264-ABM.6.48GB,magnet:?xt=urn:btih:0a0b133da03982c88eb6bbd97c25f91d4f2255fc  ,,
  吸血小英雄3D.The.Little.Vampire.2017.1080p.WEB-DL.H264.AC3-EVO EtHD .2.82GB,magnet:?xt=urn:btih:b27dcf9451de0bb910f7c134cc8475a903a93e32  ,,
  韩国佬.Gook.2017.720p.BRRip.XviD.AC3-RARBG.2.95GB,magnet:?xt=urn:btih:9cfb62259f41652fc1d06f98a9b41922aa51500e  ,,
  康纳·麦格雷戈：臭名昭著.Conor.McGregor.Notorious.2017.720p.WEB-DL.DD5.1.H264-FGT.2.76GB,magnet:?xt=urn:btih:fe1acc379627ae36611437f4653c477067009988  ,,
  为我杀人.No.Beast.So.Fierce.2016.HDRip.XViD.AC3-juggs.1.08GB,magnet:?xt=urn:btih:83d4cef6cec251345e9e6394db918ce32b95710a  ,,
  刽子手.Hangman.2017.HDRip.XviD.AC3-EVO.1.38GB,magnet:?xt=urn:btih:39b759b7cd7b6917c54e61b9533828b971a8df6d  ,,
  沉默.Heart.Blackened.2017.1080P.NonDRM_ FHD .mp4.4.75GB,magnet:?xt=urn:btih:22c380ff8cad5cedc4a180712dd11ec76af900aa  ,,
  哆啦A梦：大雄的南极冰冰凉大冒险.Doraemon.Nobitas.Great.Adventure.in.the.Antarctic.Kachi.Kochi.2017.720p.BluRay.x264,magnet:?xt=urn:btih:cb44b1be61f48006cb8c0dfbf90a728a914fce5f  ,,
  东方快车谋杀案.Murder.on.the.Orient.Express.(2017).English.HD.TS.x264.AC3.751.07MB,magnet:?xt=urn:btih:dcaca4e3c0943244c854db4837f28f71ac149110  ,,
  维罗妮卡.Veronica.2017.720p.BRRip.950MB.MkvCage.mkv.951.78MB,magnet:?xt=urn:btih:edb302886990e6a34e31d8784adff8b60a29f9ed  ,,
  开心一组4.Golmaal.Again.2017.Hindi.720p.Pre.DvDRip.x264.DD.5.1. MrGumman .1.45GB,magnet:?xt=urn:btih:2a315eabe2a41315109c453a5d8073be861d41df  ,,
  SPF-18.2017.1080p.Netflix.WEB-DL.DD5.1.x264-QOQ EtHD .3.95GB,magnet:?xt=urn:btih:b65ffd8a8a40acad30cbe4ebdf3e048783ccd03f  ,,
  真白之恋.Pure.White.2016.720p.BluRay.x264-WiKi.4GB,magnet:?xt=urn:btih:b36b0e216d10d2e20bf719d45e471af912806370  ,,
  美国刺客.American.Assassin.2017.720p.BluRay.H264.AAC-RARBG.1.35GB,magnet:?xt=urn:btih:d45906b99c00c5f2e0cb54ee6b9056efeb77bbe4  ,,
  全球风暴.Geostorm.2017.720p.BluRay.H264.AAC-RARBG.1.33GB,magnet:?xt=urn:btih:3934a5ab1de3ca800a5147c1771597d9e9fee27d  ,,
  畸形屋.Crooked.House.2017.1080p.WEB-DL.DD5.1.H264-FGT.4GB,magnet:?xt=urn:btih:aace9c0ca3d0bc2d949294c965a43656e4cd6dfc  ,,
  普通N人.A.Fantastic.Woman.2017.HD1080P.X264.AAC.Spanish.CHS.mp4.1.95GB,magnet:?xt=urn:btih:75c11e13d47b7fed3fe2bb749a58425c9b55316a  ,,
  遗忘诗行.Brigsby.Bear.2017.1080p.BluRay.x264.DTS-HD.MA.5.1-MT.7.95GB,magnet:?xt=urn:btih:82e13e74a5e7fb62319af9e425fac88538b5889a  ,,
  格瑞丝的堕落.Fall.of.Grace.2017.720p.WEB-DL.XviD.MP3-FGT.3.05GB,magnet:?xt=urn:btih:aa38fad6f626201c24ec6e442f11a822b3c935f9  ,,
  时间中的孩子.The.Child.In.Time.2017.DVDRip.x264-GHOULS.601.46MB,magnet:?xt=urn:btih:9f88a45f7e96b5877c5d341de2d0e8098e100923  ,,
  野蛮地区.The.Untamed. La.Region.Salvaje .2016.720p.WEBDL.AC3.x264.HORiZON-ArtSubs.mkv.1.86GB,magnet:?xt=urn:btih:742f97aa39984ea31d232443976c373b2b36fb22  ,,
  暗夜鬼抓床.Nails.2017.720p.WEB-DL.XviD.MP3-FGT.2.26GB,magnet:?xt=urn:btih:6c3dcf3e5fa025239c2461a5db78982b4bfa8693  ,,
  Dead.Draw.2016.1080p.AMZN.WEBRip.DDP5.1.x264-QOQ.4.06GB,magnet:?xt=urn:btih:5ea094c6d9c755cc5645c5a1f4b42cd5975bb462  ,,
  Maya.Dardel.2017.720p.WEB-DL.XviD.AC3-FGT.4.1GB,magnet:?xt=urn:btih:51a3681d54c9a05401a9a1aac0c4926094a26444  ,,
  守夜之人.The.Night.Watchmen.2017.720p.BluRay.H264.AAC-RARBG.989.13MB,magnet:?xt=urn:btih:0c47a6ba3886ca7c743108c40b2f505e8b8ccf43  ,,
  差不多的朋友.Almost.Friends.2016.720p.WEB-DL.XviD.AC3-FGT.2.82GB,magnet:?xt=urn:btih:553d9cea8d3ded05b5b26696efea0d4082d51d4d  ,,
  ___.___.__-2017.720p.BRRip.XviD.mkv.2.98GB,magnet:?xt=urn:btih:ae9a0ec6d42234cce22c17b83ccef31c7b89db47  ,,
  楼下的房客.2016.国语.简繁中字£CMCT无尽.3.51GB,magnet:?xt=urn:btih:e0a34a362e92ba34d27710b96b824ce3ff1e76af  ,,
  Friends.Dont.Let.Friends.2017.720p.BluRay.H264.AAC-RARBG.1GB,magnet:?xt=urn:btih:160c0849bb8e32c63cdeb95640add47f779cc3fb  ,,
  失控天际.Skybound.2017.1080p.WEBRip.DD2.0.x264-FGT.3.03GB,magnet:?xt=urn:btih:e6d0e9599bc8c2967e35978a57b1264f8c26b606  ,,
  正义联盟.Justice.League.2017.720p.KORSUB.HDRip.x264.AAC2.0-STUTTERSHIT.3.05GB,magnet:?xt=urn:btih:59980edbbd06a4c42f1b305ee4d3388b7f368ecc  ,,
  泥土之界.Mudbound.2017.720p.NF.WEBRip.DD5.1.x264-NTG.1.74GB,magnet:?xt=urn:btih:e7b17653a86aeb47627383d02d7e667d602418a8  ,,
  英雄联盟.Taking.Earth.2017.1080p.WEB-DL.DD5.1.H264-FGT.3.42GB,magnet:?xt=urn:btih:14b9d2766c126a7e265107719075e8fa18516dd1  ,,
  圣诞王子.A.Christmas.Prince.2017.FRENCH.HDRip.XviD-GZR.700.03MB,magnet:?xt=urn:btih:26b2a629173c2f709eb2d3a0d44474bd68416c22  ,,
  可爱的小东西.Cute.Little.Buggers.2017.1080p.WEB-DL.DD5.1.H264-FGT.3.72GB,magnet:?xt=urn:btih:828a2b15ab8e703542e6f8fc8513397f43fcd16c  ,,
  The.Elf.2017.1080p.WEB-DL.DD5.1.H264-FGT.3.58GB,magnet:?xt=urn:btih:d37b30b31bf8c7f2c626d25381767d11a0163c38  ,,
  Cook.Off.2017.720p.WEB-DL.XviD.AC3-FGT.2.88GB,magnet:?xt=urn:btih:e403cfa802707860732bbc1da26954a08fe08131  ,,
  诗人的爱.The.Poet.and.The.Boy.2017.720p.HDRip.H264.AAC-JAYENT.mp4.1.68GB,magnet:?xt=urn:btih:09940f46f5add619559cb3cafb930c3166839749  ,,
  House.of.the.Witch.2017.720p.HDTV.x264-REGRET.1.46GB,magnet:?xt=urn:btih:cab389eaa12558cfce0e8bd3405df16625ceee91  ,,
  暴力的种子.The.Seeds.of.Violence.2017.720p.HDRip.H264.AAC-iMBC.mp4.2.13GB,magnet:?xt=urn:btih:079cdfc61f04e2ff239f98a2412a34f430528782  ,,
  终极胜利.On.Wings.of.Eagles.2017.1080p.WEB-DL.DD5.1.H264-FGT.3.3GB,magnet:?xt=urn:btih:b7ea662a4265a0cf73a7bb17c0a1170031e6fe29  ,,
  狂热郁金香.Tulip.Fever.2017.720p.BluRay.H264.AAC-RARBG.1.27GB,magnet:?xt=urn:btih:de12085bf8b96a7c070c61cd58e28353d4daba79  ,,
